"Раздел";"Код";"Класс";"Фактор";"Ед.";"Уровень агрегации";"Минимум для обучения";"Где особенно нужен";"Почему критичен";"Фактическое значение";"Источник / файл";"Дата источника";"Комментарий"
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-001";"A";"культура";"";"регион / опыт / поле";"вид культуры";"стратификация корпуса";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-002";"A";"форма культуры";"";"регион / опыт / поле";"озимый / яровой";"выбор веток и сценариев";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-003";"A";"фаза развития `BBCH`";"BBCH";"опыт / поле";"фаза или диапазон";"phenology, control points";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-004";"A";"норма высева";"кг/га, шт/м²";"опыт / поле";"факт";"response-модели";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-005";"A";"срок сева";"дата / декада";"опыт / поле";"факт";"timing-модели";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-006";"A";"глубина сева";"см";"опыт / поле";"факт";"establishment";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-007";"A";"дозы удобрений N";"кг д.в./га";"опыт / поле";"факт";"nutrient response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-008";"A";"дозы удобрений P";"кг д.в./га";"опыт / поле";"факт";"nutrient response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-009";"A";"дозы удобрений K";"кг д.в./га";"опыт / поле";"факт";"nutrient response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-010";"A";"дозы серы";"кг S/га";"опыт / поле";"факт";"rapeseed-specific response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-011";"A";"дозы бора";"кг B/га, л/га";"опыт / поле";"факт";"rapeseed-specific response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-012";"A";"обработка СЗР";"л/га, кг/га";"опыт / поле";"продукт + доза + срок";"disease / pest response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-013";"A";"регулятор роста";"л/га";"опыт / поле";"продукт + срок";"winter rapeseed adaptation";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-014";"A";"урожайность";"т/га";"опыт / поле";"факт";"целевая переменная";"";"";"";"";""
